TimeStamp,Elapsed,MCP9808Temp,SHT31Temp,Humidity,Lux,Lights,Time_in_hours,R,G,B,W,Heater
2017-03-01 13:40:46,1.2828244103325737e-07,24.5,24.554055085069052,43.38902876325628,597,"on, color2",13.679444444444444,200,200,0,0,True
2017-03-01 13:40:56,0.0027805060810512966,24.4375,24.580758373388264,43.23949034866865,606,"on, color2",13.682222222222222,200,200,0,0,True
2017-03-01 13:41:06,1.0748704274495442e-07,24.4375,24.580758373388264,43.55535210193027,595,"on, color2",13.685,200,200,200,0,True
2017-03-01 13:41:16,0.0027794802188873292,24.5,24.56740672922865,43.17387655451286,623,"on, color2",13.687777777777779,200,200,200,0,True
2017-03-01 13:41:26,7.086329989963108e-08,24.4375,24.580758373388264,44.654001678492406,617,"on, color2",13.690555555555555,200,0,200,0,True
2017-03-01 13:41:36,0.0027782775296105277,24.4375,24.594110017547877,43.45922026398108,600,"on, color2",13.693333333333333,200,0,200,0,True
2017-03-01 13:41:46,0.005558692812919617,24.4375,24.554055085069052,43.19829098954757,696,"on, color2",13.696111111111112,200,0,200,0,True
2017-03-01 13:41:56,0.008336652252409192,24.4375,24.580758373388264,44.31067368581674,716,"on, color2",13.69888888888889,200,0,200,0,True
2017-03-01 13:42:06,0.011116770307223002,24.4375,24.56740672922865,43.36614023041123,729,"on, color2",13.701666666666666,200,0,200,0,True
2017-03-01 13:42:16,0.013897201418876648,24.4375,24.54070344090944,43.18303196765088,727,"on, color2",13.704444444444444,200,0,200,0,True
2017-03-01 13:42:26,8.000267876519097e-08,24.4375,24.554055085069052,43.24864576180667,719,"on, color2",13.70722222222222,200,200,0,0,True
2017-03-01 13:42:36,0.0027799232800801597,24.5,24.554055085069052,43.26085297932403,653,"on, color2",13.709999999999999,200,200,0,0,True
